City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Hasaki,JP,35.7333,140.8333,28.4,80,20,2.3,few clouds
189,Ushtobe,KZ,45.2514,77.9838,27.09,91,100,3.69,overcast clouds
190,Negombo,LK,7.2083,79.8358,78.8,69,0,11.5,clear sky
191,Pachino,IT,36.7186,15.0907,57.2,88,63,2.3,broken clouds
192,Kruisfontein,ZA,-34.0033,24.7314,71.01,80,70,5.01,broken clouds
193,Saskylakh,RU,71.9167,114.0833,-42.03,75,0,5.03,clear sky
194,Poya,NC,-21.35,165.15,75.97,87,8,5.91,clear sky
195,Asau,RO,46.4333,26.4,48.2,71,0,8.05,clear sky
196,Mogadishu,SO,2.0371,45.3438,77.79,81,0,19.3,clear sky
197,Palu,ID,-0.8917,119.8707,75.15,77,100,2.39,overcast clouds
198,Henties Bay,NA,-22.116,14.2845,66.0,82,78,5.01,broken clouds
199,Tarime,TZ,-1.35,34.3667,75.2,69,75,2.13,broken clouds
200,Taoudenni,ML,22.6783,-3.9836,91.56,10,24,13.29,few clouds
201,Teluk Nibung,ID,3.001,99.8164,75.4,92,83,2.98,broken clouds
202,Santiago De Cuba,CU,20.0247,-75.8219,78.8,47,40,4.61,scattered clouds
203,Kajaani,FI,64.2273,27.7285,5.0,85,0,5.75,clear sky
204,Hami,CN,42.8,93.45,27.63,84,3,0.89,clear sky
205,Pacific Grove,US,36.6177,-121.9166,51.01,76,1,5.75,clear sky
206,Jacareacanga,BR,-6.2222,-57.7528,92.39,48,91,4.92,overcast clouds
207,Hovd,MN,48.0056,91.6419,20.01,81,99,6.73,overcast clouds
208,Ponerihouen,NC,-21.0833,165.4,76.46,84,0,4.59,clear sky
209,Bodinayakkanur,IN,10.0167,77.35,70.9,66,24,1.9,few clouds
210,Plouzane,FR,48.3833,-4.6167,50.0,87,75,14.97,broken clouds
211,Saraza,PH,8.7356,117.78,78.37,81,95,9.82,overcast clouds
212,Paamiut,GL,61.994,-49.6678,15.04,79,0,9.28,clear sky
213,Arequipa,PE,-16.3989,-71.535,69.8,37,20,13.8,few clouds
214,Arlit,NE,18.7369,7.3853,78.42,15,42,4.88,scattered clouds
215,Linxia,CN,35.6003,103.2064,27.99,70,87,2.24,overcast clouds
216,Khatanga,RU,71.9667,102.5,-30.37,79,0,9.31,clear sky
217,Umarkot,PK,25.3616,69.7362,65.37,26,0,8.16,clear sky
218,Vostok,RU,46.4856,135.8833,-20.67,88,85,5.84,overcast clouds
219,Nador,MA,35.174,-2.9287,60.8,88,20,4.61,few clouds
220,Santiago Del Estero,AR,-27.7951,-64.2615,86.9,30,0,5.57,clear sky
221,Oranjestad,AW,12.524,-70.027,86.0,66,40,25.32,scattered clouds
222,Pyaozerskiy,RU,65.8333,31.1667,6.58,94,96,9.31,overcast clouds
223,Naryan-Mar,RU,67.6713,53.087,-13.81,89,69,9.66,broken clouds
224,Choma,ZM,-16.8065,26.9531,68.59,93,21,2.8,few clouds
225,Pochutla,MX,15.7432,-96.4661,84.99,61,75,5.39,broken clouds
226,Padang,ID,-0.9492,100.3543,78.8,89,40,2.3,scattered clouds
227,Namie,JP,37.4833,141.0,30.0,64,0,7.29,clear sky
228,Machali,CL,-34.1833,-70.6667,84.2,39,0,5.59,clear sky
229,Bambanglipuro,ID,-7.95,110.2833,76.86,89,100,3.18,overcast clouds
230,Lazurne,UA,46.084,32.5295,39.2,100,100,8.95,overcast clouds
231,Sarkand,KZ,45.41,79.9186,31.64,80,99,2.95,overcast clouds
232,Evensk,RU,61.95,159.2333,3.47,88,100,27.6,overcast clouds
233,Bengkulu,ID,-3.8004,102.2655,76.05,86,100,4.83,light rain
234,Mahebourg,MU,-20.4081,57.7,80.6,74,20,9.22,few clouds
235,Cardenas,CU,23.0375,-81.2047,71.6,53,20,5.75,few clouds
236,Qesarya,IL,32.5189,34.9046,60.8,88,20,3.44,few clouds
237,Maniitsoq,GL,65.4167,-52.9,7.83,73,0,8.23,clear sky
238,Bereda,ES,43.2686,-7.5406,50.0,73,97,1.01,overcast clouds
239,San Andres,CO,12.5847,-81.7006,82.4,74,90,12.66,overcast clouds
240,Bardiyah,LY,31.7561,25.0865,59.77,79,0,12.86,clear sky
241,Tautira,PF,-17.7333,-149.15,78.8,78,20,2.3,few clouds
242,Podgornoye,RU,51.735,39.1496,35.6,100,90,8.95,heavy intensity rain
243,Beloha,MG,-25.1667,45.05,82.71,63,77,11.34,broken clouds
244,Anadyr,RU,64.75,177.4833,-0.4,65,75,11.18,snow
245,Airai,TL,-8.9266,125.4092,60.01,100,100,3.42,moderate rain
246,Chiredzi,ZW,-21.05,31.6667,81.25,75,10,6.93,clear sky
247,Marienburg,PL,54.0359,19.0266,30.0,86,75,5.75,broken clouds
248,Labuan,MY,5.2767,115.2417,80.6,83,20,8.05,few clouds
249,Yorii,JP,36.1167,139.2,32.0,64,1,3.44,clear sky
250,Jinchang,CN,38.4953,102.1739,30.22,71,92,9.69,overcast clouds
251,Port Blair,IN,11.6667,92.75,79.02,81,17,8.9,few clouds
252,Dingzhou,CN,38.5131,114.9956,26.6,50,79,4.47,broken clouds
253,Saint-Pierre,RE,-21.3393,55.4781,82.4,65,40,6.91,scattered clouds
254,Slave Lake,CA,55.2834,-114.769,-5.8,84,90,8.05,light snow
255,Serrinha,BR,-11.6642,-39.0075,90.95,39,30,8.66,scattered clouds
256,Topolobampo,MX,25.6,-109.05,69.8,49,20,4.61,few clouds
257,Tagusao,PH,9.1924,117.8141,79.14,82,89,11.41,overcast clouds
258,Arman,RU,59.7,150.1667,-4.22,81,91,14.47,overcast clouds
259,Koundara,GN,12.4833,-13.3,104.81,8,20,0.69,few clouds
260,Khash,IR,28.2211,61.2158,46.06,43,0,5.61,clear sky
261,Barcelona,ES,41.3888,2.159,54.0,87,90,3.44,mist
262,Vila Velha,BR,-20.3297,-40.2925,91.0,58,20,19.57,few clouds
263,Mpika,ZM,-11.8343,31.4529,65.21,97,49,5.66,moderate rain
264,Sharjah,AE,25.3573,55.4033,73.0,82,0,3.44,clear sky
265,Provideniya,RU,64.3833,-173.3,-12.24,86,99,26.4,light snow
266,Jacqueville,CI,5.2052,-4.4146,86.0,79,20,12.66,few clouds
267,Kaeo,NZ,-35.1,173.7833,60.01,92,50,5.01,scattered clouds
268,Victoria,HK,22.2855,114.1577,66.0,84,0,1.01,clear sky
269,Sitka,US,57.0531,-135.33,35.6,100,90,1.7,fog
270,Pangnirtung,CA,66.1451,-65.7125,6.8,78,90,24.16,snow
