City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Namatanai,PG,78.66,overcast clouds,-3.6667,152.4333,Namatanai Hotel
190,Negombo,LK,78.8,clear sky,7.2083,79.8358,Hotel Sunset Beach
196,Mogadishu,SO,77.79,clear sky,2.0371,45.3438,Hotel Juba
197,Palu,ID,75.15,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
199,Tarime,TZ,75.2,broken clouds,-1.35,34.3667,Kifa Best Point Hotel
201,Teluk Nibung,ID,75.4,broken clouds,3.0010000000000003,99.8164,Hotel Assyifa
202,Santiago De Cuba,CU,78.8,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
208,Ponerihouen,NC,76.46,clear sky,-21.0833,165.4,Camping de Tiakan
211,Saraza,PH,78.37,overcast clouds,8.7356,117.78,NOREEN GALLEGO
214,Arlit,NE,78.42,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
220,Santiago Del Estero,AR,86.9,clear sky,-27.7951,-64.2615,Hotel Urbano
221,Oranjestad,AW,86.0,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
225,Pochutla,MX,84.99,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
226,Padang,ID,78.8,scattered clouds,-0.9492,100.3543,Mercure Padang
228,Machali,CL,84.2,clear sky,-34.1833,-70.6667,Residencial Aquelarre
229,Bambanglipuro,ID,76.86,overcast clouds,-7.95,110.2833,Puri Brata
233,Bengkulu,ID,76.05,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
234,Mahebourg,MU,80.6,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
239,San Andres,CO,82.4,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
241,Tautira,PF,78.8,few clouds,-17.7333,-149.15,Pension Oaoa
246,Chiredzi,ZW,81.25,clear sky,-21.05,31.6667,The Nesbitt Arms
248,Labuan,MY,80.6,few clouds,5.2767,115.2417,Tiara Labuan Hotel
251,Port Blair,IN,79.02,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
253,Saint-Pierre,RE,82.4,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
257,Tagusao,PH,79.14,overcast clouds,9.1924,117.8141,Toledo
266,Jacqueville,CI,86.0,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
273,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
274,Garchitorena,PH,77.45,broken clouds,13.8804,123.6946,Site
276,Sao Sepe,BR,78.8,broken clouds,-30.1606,-53.5653,Trevo Parque Hotel
280,Mareeba,AU,77.0,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
281,Vao,NC,78.69,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
282,Matara,LK,76.19,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
287,Banjar,ID,78.8,broken clouds,-8.19,114.9675,The Hamsa Resort
288,Karratha,AU,81.07,broken clouds,-20.7377,116.8463,ibis Styles Karratha
291,Souillac,MU,80.6,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
294,Sandakan,MY,80.6,scattered clouds,5.8402,118.1179,Hotel Sandakan
301,Fort Wellington,GY,82.47,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
302,Anito,PH,77.99,scattered clouds,12.4497,125.2886,The Yellow House
303,Sola,VU,79.41,broken clouds,-13.8833,167.55,Leumerus Bungalows
307,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
308,Sao Felix Do Xingu,BR,89.51,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
311,Cidreira,BR,79.92,broken clouds,-30.1811,-50.2056,Hotel Castelo
317,Caravelas,BR,86.2,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
319,Moree,AU,75.2,overcast clouds,-29.4667,149.85,Molika Springs Motel
326,San Vicente,AR,82.49,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
330,Buala,SB,78.73,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
331,Ambulu,ID,76.91,light rain,-8.345,113.6058,Hotel Ambulu Jember
332,Rio Grande,BR,77.0,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
346,Aquiraz,BR,86.0,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
351,Atar,MR,88.43,broken clouds,20.5169,-13.0499,Oumou Elghoura
365,Alyangula,AU,80.6,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
375,Angoche,MZ,82.06,broken clouds,-16.2325,39.9086,Guest House HESADA
376,Lorengau,PG,82.18,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
382,Rio Bueno,CL,84.2,clear sky,-40.3167,-72.9667,Hostal Caulle
383,Inhambane,MZ,86.0,scattered clouds,-23.865,35.3833,Oceano
